Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8605442176870748,0.6153846153846154,0.3404255319148936,0.4383561643835616,0.8115255405289
Decision Tree,0.7653061224489796,0.3103448275862069,0.3829787234042553,0.34285714285714286,0.6105177017830993
Random Forest,0.8503401360544217,0.6363636363636364,0.14893617021276595,0.2413793103448276,0.8037298647600999
